"","lake","ks_test","statistic","p_value","reject_null"
"1","shallow","M vs R",0.435064935064935,0.174778793135827,FALSE
"2","shallow","C vs R",0.477168949771689,0.110373282658426,FALSE
"3","shallow","M vs C",0.211884006404554,0.0533117537552597,FALSE
"4","upper","M vs R",0.358730158730159,0.32570231572313,FALSE
"5","upper","C vs R",0.293233082706767,0.655567041653998,FALSE
"6","upper","M vs C",0.152046783625731,0.84690267273792,FALSE
"7","round","M vs R",0.278526504941599,0.214363701039022,FALSE
"8","round","C vs R",0.341836734693878,0.0680051929240182,FALSE
"9","round","M vs C",0.365902964959569,1.23684906802622e-10,TRUE
"10","Shallow_round","M vs R",0.205084745762712,0.352531550564576,FALSE
"11","Shallow_round","C vs R",0.301858736059479,0.0486755196877338,TRUE
"12","Shallow_round","M vs C",0.296988217503623,4.67904366013459e-10,TRUE
