"","lake","ks_test","statistic","p_value","reject_null"
"1","Shallow","M vs R",0.534632034632035,0.0531600519604403,FALSE
"2","Shallow","C vs R",0.559360730593607,0.0381657055874244,TRUE
"3","Shallow","M vs C",0.0873510051592242,0.890620686410275,FALSE
"4","Round","M vs R",0.230008984725966,0.425205951669603,FALSE
"5","Round","C vs R",0.331632653061224,0.0836806885570743,FALSE
"6","Round","M vs C",0.125625721986908,0.125187625783155,FALSE
"7","Lower","M vs R",0.151005631536605,0.265389216754257,FALSE
"8","Lower","C vs R",0.163986013986014,0.192588560567079,FALSE
"9","Lower","M vs C",0.0524591558883595,0.926814436484575,FALSE
"10","Upper","M vs R",0.488888888888889,0.0768303606933416,FALSE
"11","Upper","C vs R",0.315789473684211,0.529948312557008,FALSE
"12","Upper","M vs C",0.192982456140351,0.593821663500098,FALSE
