"Lake","Gear","Set","Lat","Lon","Date","Species","Fork_length","Weight","Sex","Mark","Floy","PIT","Recap","cap_label","Fish_notes","event_num","lake_combined","stat","grouping","corrected_length","class","year_cap","year_recap"
"Lower","ANG",128,63.13443,-145.95508,2023-06-21,"LT","585",2948,NA,"Gray Floy 18615; PIT 12F1","18615","12F1",NA,"n1","Camp;  Gear = Unbaited Lure",2,"Lower","n1","n1",585,NA,NA,NA
"Lower","ANG",39,63.1342,-145.9561,2023-06-20,"LT","590",2608,NA,"Gray Floy 18631; PIT 12FD","18631","12FD",NA,"n1","Caught at camp;  Gear = Unbaited Lure",2,"Lower","n1","n1",590,NA,NA,NA
"Shallow","ANG",58,63.07093,-145.97399,2023-06-18,"LT","519",1701,NA,"Gray Floy 18517; PIT 12EC","18517","12EC",NA,"n1","Chonky fish!;  Gear = Baited Lure",2,"Shallow_Round","n1","n1",519,NA,NA,NA
"Lower","ANG",111,63.13788,-145.95612,2023-04-18,"LT","460",NA,NA,"Gray Floy 19434","19434",NA,NA,"n1","crooked back;  Gear = Ice Fishing, use of bait unknown but likely",1,"Lower","n1","n1",460,NA,NA,NA
"Round","OTH",7,63.05757,-145.98643,2023-06-10,"LT","589",NA,NA,"Gray Floy 18007","18007",NA,NA,"n1","Did not PIT Tag;  Gear = Baited Hookless Jug Line",2,"Shallow_Round","n1","n1",589,NA,NA,NA
"Round","ANG",82,63.05783,-145.98956,2023-06-24,"LT","374",NA,NA,"Gray Floy 18259","18259",NA,NA,"n1","Did not PIT Tag;  Gear = Baited Lure",2,"Shallow_Round","n1","n1",374,NA,NA,NA
"Round","ANG",2,63.05516,-145.99972,2023-06-10,"LT","350",NA,NA,"Gray Floy 18002","18002",NA,NA,"n1","Did not PIT Tag;  Gear = Unbaited Lure",2,"Shallow_Round","n1","n1",350,NA,NA,NA
"Round","ANG",6,63.05591,-145.98563,2023-06-10,"LT","353",NA,NA,"Gray Floy 18006","18006",NA,NA,"n1","Did not PIT Tag;  Gear = Unbaited Lure",2,"Shallow_Round","n1","n1",353,NA,NA,NA
"Round","ANG",4,63.05767,-145.98132,2023-06-10,"LT","371",NA,NA,"Gray Floy 18004","18004",NA,NA,"n1","Did not PIT Tag;  Gear = Unbaited Lure",2,"Shallow_Round","n1","n1",371,NA,NA,NA
"Round","ANG",3,63.05311,-145.99361,2023-06-10,"LT","423",NA,NA,"Gray Floy 18003","18003",NA,NA,"n1","Did not PIT Tag;  Gear = Unbaited Lure",2,"Shallow_Round","n1","n1",423,NA,NA,NA
"Round","ANG",5,63.05907,-145.97958,2023-06-10,"LT","450",NA,NA,"Gray Floy 18005","18005",NA,NA,"n1","Did not PIT Tag;  Gear = Unbaited Lure",2,"Shallow_Round","n1","n1",450,NA,NA,NA
"Round","ANG",1,63.05631,-146.00282,2023-06-10,"LT","526",NA,NA,"Gray Floy 18001","18001",NA,NA,"n1","Did not PIT Tag;  Gear = Unbaited Lure",2,"Shallow_Round","n1","n1",526,NA,NA,NA
"Lower","ANG",129,63.13361,-145.96231,2023-06-21,"LT","588",3289,NA,"Gray Floy 18610; PIT 1321","18610","1321",NA,"n1","Did not scan for PIT tag; Gear = Bait",2,"Lower","n1","n1",588,NA,NA,NA
"Round","ANG",8,63.05479,-145.99972,2023-06-10,"LT","408",NA,NA,NA,NA,NA,NA,"Mort","Did not tag because eye hooked;  Gear = Unbaited Lure",2,"Shallow_Round","n1","n1",408,NA,NA,NA
"Upper","ANG",37,63.02526,-146.05889,2023-06-21,"LT","470",1247,NA,"Gray Floy 18554; PIT OC19","18554","OC19",NA,"n1","Fish flopped while PIT tagging, apears ok and tag was retained;  Gear = Baited Lure",2,"Upper","n1","n1",470,NA,NA,NA
"Lower","ANG",70,63.13818,-145.95932,2023-04-15,"LT","580",NA,NA,"Gray Floy 20000","20000",NA,NA,"n1","Fish had an old floy tag, gray 45868, replaced with new tag;  Gear = Ice Fishing, use of bait unknown but likely",1,"Lower","n1","n1",580,NA,NA,NA
"Upper","ANG",5,63.03993,-146.05279,2023-06-12,"LT","605",2812,NA,"Gray Floy 18012; PIT OBF2","18012","OBF2",NA,"n1","Fish had torn face, look ok w/no bleeding, tagged with Floy and PIT tags;  Gear = Baited Lure",2,"Upper","n1","n1",605,NA,NA,NA
"Round","ANG",69,63.0566,-145.98206,2023-06-23,"LT","308",NA,NA,"Gray Floy 18574","18574",NA,NA,"n1","Floy tagged, but fish too small to PIT tag;  Gear = Baited Lure",2,"Shallow_Round","n1","n1",308,NA,NA,NA
"Lower","ANG",22,63.13368,-145.96103,2023-04-12,"LT","492",NA,NA,"Gray Floy UNK","UNK",NA,NA,"n1","Floy tagged, but tag number not recorded, Radio tag #12 from 2022;  Gear = Ice Fishing, use of bait unknown but likely",1,"Lower","n1","n1",492,NA,NA,NA
"Lower","ANG",104,63.11603,-145.96756,2023-06-21,"LT","410",680,NA,"Gray Floy 18249; PIT 8357","18249","8357",NA,"n1","Gear = Angling, unknown if bait was used",2,"Lower","n1","n1",410,NA,NA,NA
"Lower","ANG",22,63.13366,-145.95671,2023-06-19,"LT","490",1814,NA,"Gray Floy 18221; PIT UNK","18221","UNK",NA,"n1","Gear = Angling, unknown if bait was used",2,"Lower","n1","n1",490,NA,NA,NA
"Lower","ANG",39,63.13705,-145.9551,2023-06-20,"LT","318",NA,NA,"Gray Floy 18648; PIT 13O5","18648","13O5",NA,"n1","Gear = Bait",2,"Lower","n1","n1",318,NA,NA,NA
"Lower","ANG",3,63.13746,-145.96206,2023-06-19,"LT","354",NA,NA,"Gray Floy 18524; PIT 131A","18524","131A",NA,"n1","Gear = Bait",2,"Lower","n1","n1",354,NA,NA,NA
"Lower","ANG",100,63.13901,-145.95796,2023-06-21,"LT","380",NA,NA,"Gray Floy 18623; PIT 12FA","18623","12FA",NA,"n1","Gear = Bait",2,"Lower","n1","n1",380,NA,NA,NA
"Lower","ANG",7,63.12872,-145.96516,2023-06-19,"LT","385",NA,NA,"Gray Floy 18523; PIT 12EF","18523","12EF",NA,"n1","Gear = Bait",2,"Lower","n1","n1",385,NA,NA,NA
"Lower","ANG",46,63.13749,-145.95379,2023-06-20,"LT","401",NA,NA,"Gray Floy 18641; PIT 133O","18641","133O",NA,"n1","Gear = Bait",2,"Lower","n1","n1",401,NA,NA,NA
"Lower","ANG",108,63.13711,-145.96307,2023-06-21,"LT","470",NA,NA,"Gray Floy 18619; PIT 13OD","18619","130D",NA,"n1","Gear = Bait",2,"Lower","n1","n1",470,NA,NA,NA
"Lower","ANG",62,63.13822,-145.95952,2023-06-20,"LT","490",1814,NA,"Gray Floy 18638; PIT 1346","18638","1346",NA,"n1","Gear = Bait",2,"Lower","n1","n1",490,NA,NA,NA
"Lower","ANG",64,63.13705,-145.9551,2023-06-20,"LT","495",NA,NA,"Gray Floy 18649; PIT 132O","18649","132O",NA,"n1","Gear = Bait",2,"Lower","n1","n1",495,NA,NA,NA
"Lower","ANG",111,63.13622,-145.95575,2023-06-21,"LT","499",1588,NA,"Gray Floy 18613; PIT 13OA","18613","13OA",NA,"n1","Gear = Bait",2,"Lower","n1","n1",499,NA,NA,NA
"Lower","ANG",114,63.13711,-145.96307,2023-06-21,"LT","505",1134,NA,"Gray Floy 18611; PIT 13O6","18611","1306",NA,"n1","Gear = Bait",2,"Lower","n1","n1",505,NA,NA,NA
