"","Floy","area_marked","area_recaptured","event_marked","event_recapped","within_event","PIT"
"1","18034","Upper","Upper",2,4,FALSE,"OBF6"
"2","18037","Upper","Upper",2,4,FALSE,"OBF7"
"3","18039","Round","Round",2,4,FALSE,"OCOD"
"4","18046","Round","Round",2,4,FALSE,"OC2D"
"5","18066","Shallow","Shallow",2,4,FALSE,"OC18"
"6","18067","Shallow","Shallow",2,4,FALSE,"OC39"
"7","18088","Shallow","Shallow",2,4,FALSE,"OBFE"
"8","18202","Lower","Lower",2,4,FALSE,"8346"
"9","18204","Lower","Lower",2,3,FALSE,"8312"
"10","18206","Lower","Lower",2,4,FALSE,NA
"11","18209","Lower","Lower",2,4,FALSE,"8303"
"12","18210","Lower","Lower",2,4,FALSE,"831E"
"13","18214","Lower","Lower",2,4,FALSE,"833F"
"14","18218","Lower","Lower",2,3,FALSE,"8360"
"15","18228","Lower","Lower",2,4,FALSE,"834E"
"16","18230","Lower","Lower",2,4,FALSE,"8310"
"17","18249","Lower","Lower",2,3,FALSE,"8357"
"18","18259","Round","Round",2,4,FALSE,NA
"19","18266","Round","Round",2,4,FALSE,"283A"
"20","18267","Round","Round",2,4,FALSE,"284A"
"21","18269","Round","Round",2,4,FALSE,"2838"
"22","18546","Shallow","Shallow",2,4,FALSE,"12F6"
"23","18553","Upper","Upper",2,4,FALSE,"OC21"
"24","18555","Upper","Upper",2,4,FALSE,"OC2B"
"25","18558","Upper","Upper",2,4,FALSE,"OC29"
"26","18564","Upper","Upper",2,4,FALSE,"2824"
"27","18590","Round","Round",2,4,FALSE,"2815"
"28","18601","Lower","Lower",2,4,FALSE,"134D"
"29","18603","Lower","Lower",2,4,FALSE,"134C"
"30","18606","Lower","Lower",2,4,FALSE,"12F2"
"31","18607","Lower","Lower",2,3,FALSE,"1303"
"32","18608","Lower","Shallow",2,4,FALSE,"12F8"
"33","18611","Lower","Lower",2,3,FALSE,"1306"
"34","18614","Lower","Lower",2,4,FALSE,"12EE"
"35","18619","Lower","Lower",2,4,FALSE,"130D"
"36","18620","Lower","Lower",2,4,FALSE,"1315"
"37","18624","Lower","Lower",2,4,FALSE,"1307"
"38","18631","Lower","Lower",2,4,FALSE,"12FD"
"39","18633","Lower","Lower",2,4,FALSE,"132F"
"40","18637","Lower","Lower",2,4,FALSE,"132A"
"41","18640","Lower","Lower",2,4,FALSE,"133B"
"42","18650","Lower","Lower",2,4,FALSE,"1304"
"43","18652","Lower","Lower",2,3,FALSE,"854E"
"44","18654","Round","Round",2,4,FALSE,"8516"
"45","18665","Round","Round",2,4,FALSE,"85OF"
"46","18683","Round","Round",2,4,FALSE,"85O8"
"47","18688","Round","Round",2,4,FALSE,"8539"
"48","18960","Round","Round",2,4,FALSE,"8543"
"49","18966","Round","Round",2,4,FALSE,"8534"
"50","18967","Round","Round",2,4,FALSE,"8525"
"51","19428","Lower","Lower",1,3,FALSE,"835B"
"52","19430","Lower","Lower",1,3,FALSE,NA
"53","19431","Lower","Lower",1,3,FALSE,NA
"54","19432","Lower","Lower",1,4,FALSE,NA
"55","19434","Lower","Lower",1,4,FALSE,NA
"56","19802","Lower","Lower",1,3,FALSE,NA
"57","19803","Lower","Lower",1,4,FALSE,NA
"58","19812","Lower","Lower",1,3,FALSE,NA
"59","19816","Lower","Lower",1,3,FALSE,NA
"60","19828","Lower","Lower",1,4,FALSE,NA
"61","19830","Lower","Lower",1,4,FALSE,NA
"62","19831","Lower","Lower",1,3,FALSE,NA
"63","19837","Lower","Lower",1,4,FALSE,NA
"64","19838","Lower","Lower",1,3,FALSE,NA
"65","19840","Lower","Lower",1,4,FALSE,NA
"66","19852","Lower","Lower",1,4,FALSE,NA
"67","19854","Lower","Lower",1,4,FALSE,NA
"68","19856","Lower","Lower",1,3,FALSE,NA
"69","19862","Upper","Upper",2,4,FALSE,"85A5"
"70","19901","Lower","Lower",1,3,FALSE,NA
"71","19905","Lower","Lower",1,3,FALSE,NA
"72","19911","Lower","Lower",1,4,FALSE,NA
"73","19916","Lower","Lower",1,4,FALSE,"832D"
"74","19918","Lower","Lower",1,4,FALSE,NA
"75","19958","Lower","Lower",1,3,FALSE,NA
"76","19960","Lower","Lower",1,4,FALSE,NA
"77","19965","Lower","Lower",1,4,FALSE,"831C"
"78","19970","Lower","Shallow",1,4,FALSE,NA
"79","19974","Lower","Lower",1,4,FALSE,"8362"
"80","19975","Lower","Lower",1,4,FALSE,NA
"81","19997","Lower","Lower",1,3,FALSE,NA
"82","UNK","Lower","Lower",2,4,FALSE,"8330"
